unit_id,heading_id,level,order_idx,path,h1,h2,h3,h4,h5,h6,sentence_text,token_start,token_end
U000001,H000004,4,1,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Karuṇāsītalahadayaṃ, paññāpajjotavihatamohatamaṃ; Sanarāmaralokagaruṃ, vande sugataṃ gativimuttaṃ.",6,11
U000002,H000004,4,2,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca; Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ.",12,23
U000003,H000004,4,3,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ.",24,32
U000004,H000004,4,4,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena.",33,41
U000005,H000004,4,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa.,42,46
U000006,H000004,4,6,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi.",47,56
U000007,H000004,4,7,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya.",57,64
U000008,H000004,4,8,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ.",65,72
U000009,H000004,4,9,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ.",73,79
U000010,H000004,4,10,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa.",80,88
U000011,H000004,4,11,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro.",89,95
