sentence_id,parent_chunk,token_start,token_end,sentence_text
MAIN001-S001,MAIN001,1,16,"Namo tassa bhagavato arahato sammāsambuddhassa Majjhimanikāye Mūlapaṇṇāsa-aṭṭhakathā (Paṭhamo bhāgo) Ganthārambhakathā Karuṇāsītalahadayaṃ, paññāpajjotavihatamohatamaṃ; Sanarāmaralokagaruṃ, vande sugataṃ gativimuttaṃ."
MAIN001-S002,MAIN001,17,28,"Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca; Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ."
MAIN001-S003,MAIN001,29,37,"Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ."
MAIN001-S004,MAIN001,38,46,"Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena."
MAIN001-S005,MAIN001,47,51,Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa.
MAIN001-S006,MAIN001,52,61,"Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi."
MAIN001-S007,MAIN001,62,69,"Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya."
MAIN001-S008,MAIN001,70,77,"Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ."
MAIN001-S009,MAIN001,78,84,"Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ."
MAIN001-S010,MAIN001,85,93,"Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa."
MAIN001-S011,MAIN001,94,100,"Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro."
MAIN001-S012,MAIN001,101,109,"Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri."
MAIN001-S013,MAIN001,110,115,"Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva."
MAIN001-S014,MAIN001,116,129,"Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi."
MAIN001-S015,MAIN001,130,138,"‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’."
MAIN001-S016,MAIN001,139,148,"Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti."
MAIN001-S017,MAIN001,149,149,Nidānakathā
MAIN001-S018,MAIN001,150,158,1. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā.
MAIN001-S019,MAIN001,159,166,Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā.
MAIN001-S020,MAIN001,167,171,Suttato diyaḍḍhasuttasataṃ dve ca suttantā.
MAIN001-S021,MAIN001,172,174,Padato tevīsuttarapañcasatādhikāni asītipadasahassāni.
MAIN001-S022,MAIN001,175,186,"Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti."
MAIN001-S023,MAIN001,187,193,Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni.
MAIN001-S024,MAIN001,194,199,Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro.
MAIN001-S025,MAIN001,200,204,Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi.
MAIN001-S026,MAIN001,205,212,Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti.
MAIN001-S027,MAIN001,213,224,"Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti."
MAIN001-S028,MAIN001,225,232,"Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ."
MAIN001-S029,MAIN001,233,241,Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi.
MAIN001-S030,MAIN001,242,248,Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā.
MAIN001-S031,MAIN001,249,253,Tasmā sā tattha vitthāritanayeneva veditabbā.
MAIN001-S032,MAIN001,254,255,1. Mūlapariyāyavaggo
MAIN001-S033,MAIN001,256,257,1. Mūlapariyāyasuttavaṇṇanā
MAIN001-S034,MAIN001,258,264,1. Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ.
MAIN001-S035,MAIN001,265,267,Tattha evanti nipātapadaṃ.
MAIN001-S036,MAIN001,268,269,Metiādīni nāmapadāni.
MAIN001-S037,MAIN001,270,281,"Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo."
MAIN001-S038,MAIN001,282,286,Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo.
MAIN001-S039,MAIN001,287,300,Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato.
MAIN001-S040,MAIN001,301,310,"‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese."
MAIN001-S041,MAIN001,311,318,"‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane."
MAIN001-S042,MAIN001,319,334,‘‘Evamevaṃ panāyaṃ vasalī yasmiṃ vā tasmiṃ vā tassa muṇḍakassa samaṇakassa vaṇṇaṃ bhāsatī’’tiādīsu (saṃ. ni. 1.187) garahaṇe.
MAIN001-S043,MAIN001,335,345,‘‘Evaṃ bhanteti kho te bhikkhū bhagavato paccassosu’’ntiādīsu (ma. ni. 1.1) vacanasampaṭiggahe.
MAIN001-S044,MAIN001,346,357,"‘‘Evaṃ byākho ahaṃ, bhante, bhagavatā dhammaṃ desitaṃ ājānāmī’’tiādīsu (ma. ni. 1.398) ākāre."
MAIN001-S045,MAIN001,358,405,"‘‘Ehi tvaṃ, māṇavaka, yena samaṇo ānando tenupasaṅkama, upasaṅkamitvā mama vacanena samaṇaṃ, ānandaṃ, appābādhaṃ appātaṅkaṃ lahuṭṭhānaṃ balaṃ phāsuvihāraṃ puccha – ‘subho māṇavo todeyyaputto, bhavantaṃ ānandaṃ, appābādhaṃ appātaṅkaṃ lahuṭṭhānaṃ balaṃ phāsuvihāraṃ pucchatī’ti, evañca vadehi sādhu kira bhavaṃ ānando yena subhassa māṇavassa todeyyaputtassa nivesanaṃ, tenupasaṅkamatu anukampaṃ upādāyā’’tiādīsu (dī. ni. 1.445) nidassane."
MAIN001-S046,MAIN001,406,417,"‘‘Taṃ kiṃ maññatha, kālāmā, ime dhammā kusalā vā akusalā vāti? Akusalā, bhante."
MAIN001-S047,MAIN001,418,423,"Sāvajjā vā anavajjā vāti? Sāvajjā, bhante."
MAIN001-S048,MAIN001,424,429,"Viññugarahitā vā viññuppasatthā vāti? Viññugarahitā, bhante."
MAIN001-S049,MAIN001,430,454,"Samattā samādinnā ahitāya dukkhāya saṃvattanti no vā, kathaṃ vo ettha hotīti? Samattā, bhante, samādinnā ahitāya dukkhāya saṃvattanti, evaṃ no ettha hotī’’tiādīsu (a. ni. 3.66) avadhāraṇe."
MAIN001-S050,MAIN001,455,457,Svāyamidha ākāranidassanāvadhāraṇesu daṭṭhabbo.
MAIN001-S051,MAIN001,458,488,"Tattha ākāraṭṭhena evaṃsaddena etamatthaṃ dīpeti – nānānayanipuṇaṃ anekajjhāsayasamuṭṭhānaṃ atthabyañjanasampannaṃ vividhapāṭihāriyaṃ dhammatthadesanāpaṭivedhagambhīraṃ sabbasattānaṃ sakasakabhāsānurūpato sotapathamāgacchantaṃ tassa bhagavato vacanaṃ sabbappakārena ko samattho viññātuṃ, sabbathāmena pana sotukāmataṃ janetvāpi evaṃ me sutaṃ, mayāpi ekenākārena sutanti."
MAIN001-S052,MAIN001,489,508,"Nidassanaṭṭhena ‘‘nāhaṃ sayambhū, na mayā idaṃ sacchikata’’nti attānaṃ parimocento evaṃ me sutaṃ, mayāpi evaṃ sutanti idāni vattabbaṃ sakalaṃ suttaṃ nidasseti."
MAIN001-S053,MAIN001,509,562,"Avadhāraṇaṭṭhena ‘‘etadaggaṃ, bhikkhave, mama sāvakānaṃ bhikkhūnaṃ bahussutānaṃ yadidaṃ ānando, gatimantānaṃ, satimantānaṃ, dhitimantānaṃ, upaṭṭhākānaṃ yadidaṃ ānando’’ti (a. ni. 1.219-223) evaṃ bhagavatā, ‘‘āyasmā ānando atthakusalo dhammakusalo byañjanakusalo niruttikusalo pubbāparakusalo’’ti (a. ni. 5.169) evaṃ dhammasenāpatinā ca pasatthabhāvānurūpaṃ attano dhāraṇabalaṃ dassento sattānaṃ sotukamyataṃ janeti ‘‘evaṃ me sutaṃ, tañca kho atthato vā byañjanato vā anūnamanadhikaṃ, evameva na aññathā daṭṭhabba’’nti."
MAIN001-S054,MAIN001,563,566,Me-saddo tīsu atthesu dissati.
MAIN001-S055,MAIN001,567,576,Tathā hissa ‘‘gāthābhigītaṃ me abhojaneyya’’ntiādīsu (su. ni. 81) mayāti attho.
MAIN001-S056,MAIN001,577,588,"‘‘Sādhu me, bhante bhagavā, saṃkhittena dhammaṃ desetū’’tiādīsu (saṃ. ni. 4.88) mayhanti attho."
MAIN001-S057,MAIN001,589,597,"‘‘Dhammadāyādā me, bhikkhave, bhavathā’’tiādīsu (ma. ni. 1.29) mamāti attho."
MAIN001-S058,MAIN001,598,607,Idha pana ‘‘mayā suta’’nti ca ‘‘mama suta’’nti ca atthadvaye yujjati.
MAIN001-S059,MAIN001,608,615,Sutanti ayaṃ suta-saddo saupasaggo ca anupasaggo ca gamana-vissuta-kilinna-upacitānuyoga-sotaviññeyya-sotadvārānusāraviññātādianekatthappabhedo.
MAIN001-S060,MAIN001,616,621,Tathā hissa ‘‘senāya pasuto’’tiādīsu gacchantoti attho.
MAIN001-S061,MAIN001,622,634,"‘‘Sutadhammassa passato’’tiādīsu (udā. 11) vissutadhammassāti attho, ‘‘avassutā avassutassāti’’ādīsu (pāci. 657) kilinnā kilinnassāti attho."
MAIN001-S062,MAIN001,635,643,‘‘Tumhehi puññaṃ pasutaṃ anappaka’’ntiādīsu (khu. pā. 7.12) upacitanti attho.
MAIN001-S063,MAIN001,644,651,‘‘Ye jhānapasutā dhīrā’’tiādīsu (dha. pa. 181) jhānānuyuttāti attho.
MAIN001-S064,MAIN001,652,659,‘‘Diṭṭhaṃ sutaṃ muta’’ntiādīsu (ma. ni. 1.241) sotaviññeyyanti attho.
MAIN001-S065,MAIN001,660,666,‘‘Sutadharo sutasannicayo’’tiādīsu (ma. ni. 1.339) sotadvārānusāraviññātadharoti attho.
MAIN001-S066,MAIN001,667,674,Idha panassa sotadvārānusārena ‘‘upadhārita’’nti vā ‘‘upadhāraṇa’’nti vāti attho.
MAIN001-S067,MAIN001,675,685,Me-saddassa hi mayāti atthe sati ‘‘evaṃ mayā sutaṃ sotadvārānusārena upadhārita’’nti yujjati.
MAIN001-S068,MAIN001,686,694,Mamāti atthe sati ‘‘evaṃ mama sutaṃ sotadvārānusārena upadhāraṇa’’nti yujjati.
MAIN001-S069,MAIN001,695,699,Evametesu tīsu padesu evanti sotaviññāṇādiviññāṇakiccanidassanaṃ.
MAIN001-S070,MAIN001,700,701,Meti vuttaviññāṇasamaṅgipuggalanidassanaṃ.
MAIN001-S071,MAIN001,702,704,Sutanti assavanabhāvappaṭikkhepato anūnānadhikāviparītaggahaṇanidassanaṃ.
MAIN001-S072,MAIN001,705,713,Tathā evanti tassā sotadvārānusārena pavattāya viññāṇavīthiyā nānappakārena ārammaṇe pavattibhāvappakāsanaṃ.
MAIN001-S073,MAIN001,714,715,Meti attappakāsanaṃ.
MAIN001-S074,MAIN001,716,717,Sutanti dhammappakāsanaṃ.
MAIN001-S075,MAIN001,718,733,"Ayañhettha saṅkhepo ‘‘nānappakārena ārammaṇe pavattāya viññāṇavīthiyā mayā na aññaṃ kataṃ, idaṃ pana kataṃ, ayaṃ dhammo suto’’ti."
MAIN001-S076,MAIN001,734,736,Tathā evanti niddisitabbappakāsanaṃ.
MAIN001-S077,MAIN001,737,738,Meti puggalappakāsanaṃ.
MAIN001-S078,MAIN001,739,740,Sutanti puggalakiccappakāsanaṃ.
MAIN001-S079,MAIN001,741,751,"Idaṃ vuttaṃ hoti – yaṃ suttaṃ niddisissāmi, taṃ mayā evaṃ sutanti."
MAIN001-S080,MAIN001,752,760,"Tathā evanti yassa cittasantānassa nānākārappavattiyā nānatthabyañjanaggahaṇaṃ hoti, tassa nānākāraniddeso."
MAIN001-S081,MAIN001,761,768,"Evanti hi ayaṃ ākārapaññatti, meti kattuniddeso, sutanti visayaniddeso."
MAIN001-S082,MAIN001,769,776,Ettāvatā nānākārappavattena cittasantānena taṃsamaṅgino kattuvisaye gahaṇasanniṭṭhānaṃ kataṃ hoti.
MAIN001-S083,MAIN001,777,780,Atha vā evanti puggalakiccaniddeso.
MAIN001-S084,MAIN001,781,782,Sutanti viññāṇakiccaniddeso.
MAIN001-S085,MAIN001,783,784,Meti ubhayakiccayuttapuggalaniddeso.
MAIN001-S086,MAIN001,785,794,Ayaṃ panettha saṅkhepo – mayā savanakiccaviññāṇasamaṅginā puggalena viññāṇavasena laddhasavanakiccavohārena sutanti.
MAIN001-S087,MAIN001,795,801,Tattha evanti ca meti ca saccikaṭṭhaparamatthavasena avijjamānapaññatti.
MAIN001-S088,MAIN001,802,814,"Kiñhettha taṃ paramatthato atthi, yaṃ evanti vā meti vā niddesaṃ labhetha? Sutanti vijjamānapaññatti."
MAIN001-S089,MAIN001,815,821,"Yañhi tamettha sotena upaladdhaṃ, taṃ paramatthato vijjamānanti."
MAIN001-S090,MAIN001,822,831,Tathā evanti ca meti ca taṃ taṃ upādāya vattabbato upādāpaññatti.
MAIN001-S091,MAIN001,832,836,Sutanti diṭṭhādīni upanidhāya vattabbato upanidhāpaññatti.
MAIN001-S092,MAIN001,837,842,Ettha ca evanti vacanena asammohaṃ dīpeti.
MAIN001-S093,MAIN001,843,847,Na hi sammūḷho nānappakārapaṭivedhasamattho hoti.
MAIN001-S094,MAIN001,848,852,Sutanti vacanena sutassa asammosaṃ dīpeti.
MAIN001-S095,MAIN001,853,863,"Yassa hi sutaṃ sammuṭṭhaṃ hoti, na so kālantarena mayā sutanti paṭijānāti."
MAIN001-S096,MAIN001,864,869,"Iccassa asammohena paññāsiddhi, asammosena pana satisiddhi."
