window_id,parent_chunk,token_start,token_end,window_text
MAIN001-W2-0001,MAIN001,1,28,"Namo tassa bhagavato arahato sammāsambuddhassa Majjhimanikāye Mūlapaṇṇāsa-aṭṭhakathā (Paṭhamo bhāgo) Ganthārambhakathā Karuṇāsītalahadayaṃ, paññāpajjotavihatamohatamaṃ; Sanarāmaralokagaruṃ, vande sugataṃ gativimuttaṃ. Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca; Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ."
MAIN001-W3-0001,MAIN001,1,37,"Namo tassa bhagavato arahato sammāsambuddhassa Majjhimanikāye Mūlapaṇṇāsa-aṭṭhakathā (Paṭhamo bhāgo) Ganthārambhakathā Karuṇāsītalahadayaṃ, paññāpajjotavihatamohatamaṃ; Sanarāmaralokagaruṃ, vande sugataṃ gativimuttaṃ. Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca; Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ. Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ."
MAIN001-W2-0002,MAIN001,17,37,"Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca; Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ. Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ."
MAIN001-W3-0002,MAIN001,17,46,"Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca; Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ. Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ. Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena."
MAIN001-W2-0003,MAIN001,29,46,"Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ. Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena."
MAIN001-W3-0003,MAIN001,29,51,"Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ. Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena. Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa."
MAIN001-W2-0004,MAIN001,38,51,"Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena. Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa."
MAIN001-W3-0004,MAIN001,38,61,"Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena. Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa. Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi."
MAIN001-W2-0005,MAIN001,47,61,"Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa. Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi."
MAIN001-W3-0005,MAIN001,47,69,"Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa. Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi. Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya."
