heading_id,level,order_idx,title,path,parent_id
H000001,1,1,Majjhimanikāye,Majjhimanikāye,
H000002,2,1,Mūlapaṇṇāsa-aṭṭhakathā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā,H000001
H000003,3,1,(Paṭhamo bhāgo),Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo),H000002
H000004,4,1,Ganthārambhakathā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,H000003
H000005,4,2,Nidānakathā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,H000003
H000006,3,2,1. Mūlapariyāyavaggo,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo,H000002
H000007,4,3,1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,H000006
H000008,5,1,Suttanikkhepavaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,H000007
H000009,5,2,Pathavīvāravaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Pathavīvāravaṇṇanā,H000007
H000010,5,3,Āpovārādivaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Āpovārādivaṇṇanā,H000007
H000011,5,4,Bhūtavārādivaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Bhūtavārādivaṇṇanā,H000007
H000012,5,5,Ākāsānañcāyatanavārādivaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Ākāsānañcāyatanavārādivaṇṇanā,H000007
H000013,5,6,Diṭṭhasutavārādivaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Diṭṭhasutavārādivaṇṇanā,H000007
H000014,5,7,Ekattavārādivaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Ekattavārādivaṇṇanā,H000007
H000015,5,8,Sekkhavāradutiyanayavaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Sekkhavāradutiyanayavaṇṇanā,H000007
H000016,5,9,Khīṇāsavavāratatiyādinayavaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Khīṇāsavavāratatiyādinayavaṇṇanā,H000007
H000017,5,10,Tathāgatavārasattamanayavaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Tathāgatavārasattamanayavaṇṇanā,H000007
H000018,5,11,Tathāgatavāraaṭṭhamanayavaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Tathāgatavāraaṭṭhamanayavaṇṇanā,H000007
H000019,4,4,2. Sabbāsavasuttavaṇṇanā,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 2. Sabbāsavasuttavaṇṇanā,H000006
