Pali,EN
Suttanikkhepavaṇṇanā Idāni ‘‘sabbadhammamūlapariyāyaṃ vo’’tiādinā nayena bhagavatā nikkhittassa suttassa vaṇṇanāya okāso anuppatto.,"Exposition of the Summary of the Sutta. Now, the occasion has arrived for the explanation of the discourse delivered by the Blessed One, beginning with the words, ‘I shall teach you the Root of All Phenomena (sabbadhammamūlapariyāya)."
"Sā panesā suttavaṇṇanā yasmā suttanikkhepaṃ vicāretvā vuccamānā pākaṭā hoti, tasmā suttanikkhepaṃ tāva vicārayissāma.","Now, since the explanation of this discourse becomes clear when examined in relation to the summary of the sutta, therefore we shall first examine that summary of the sutta."
Cattāro hi suttanikkhepā attajjhāsayo parajjhāsayo pucchāvasiko aṭṭhuppattikoti.,"For there are four types of sutta-classifications (suttanikkhepa): those spoken from the Buddha’s own inclination (attajjhāsaya), those spoken according to the inclination of others (parajjhāsaya), those occasioned by a question (pucchāvasika), and those delivered on account of a specific circumstance (aṭṭhuppattika)."
Tattha yāni suttāni bhagavā parehi anajjhiṭṭho kevalaṃ attano ajjhāsayeneva kathesi.,"Herein, the discourses which the Blessed One, without being requested by others, taught solely out of his own inclination are so designated."
"Seyyathidaṃ, ākaṅkheyyasuttaṃ, vatthasuttaṃ, mahāsatipaṭṭhānasuttaṃ, mahāsaḷāyatanavibhaṅgasuttaṃ, ariyavaṃsasuttaṃ, sammappadhānasuttantahārako, iddhipādaindriyabalabojjhaṅgamaggaṅgasuttantahārakoti evamādīni.","Such are, for example, the Ākaṅkheyya Sutta, the Vattha Sutta, the Mahāsatipaṭṭhāna Sutta, the Mahāsaḷāyatanavibhaṅga Sutta, the Ariyavaṃsa Sutta, the group of discourses on the Four Right Efforts (sammappadhāna), and the collections on the Bases of Spiritual Power (iddhipāda), the Faculties (indriya), the Powers (bala), the Factors of Awakening (bojjhaṅga), and the Path Factors (maggaṅga), and others of this kind."
Tesaṃ attajjhāsayo nikkhepo.,The classification of these is that they belong to the category of discourses spoken from the Buddha’s own inclination (attajjhāsaya-nikkhepa).
"Yāni pana ‘‘paripakkā kho rāhulassa vimuttiparipācanīyā dhammā, yaṃnūnāhaṃ rāhulaṃ uttari āsavānaṃ khaye vineyya’’nti (saṃ. ni. 4.121) evaṃ paresaṃ ajjhāsayaṃ khantiṃ manaṃ abhinīhāraṃ bujjhanabhāvañca avekkhitvā parajjhāsayavasena kathitāni.","Those discourses, however, which were spoken by considering the inclination, receptivity, disposition, and readiness for understanding of others—such as when the Blessed One reflected, ‘The spiritual qualities leading to liberation have ripened in Rāhula; let me now instruct him further for the destruction of the taints’ (Saṃyutta Nikāya IV 121)—these are designated as spoken according to the inclination of others (parajjhāsaya)."
"Seyyathidaṃ, cūḷarāhulovādasuttaṃ, mahārāhulovādasuttaṃ, dhammacakkappavattanaṃ, dhātuvibhaṅgasuttanti evamādīni.","Such are, for example, the Cūḷa-Rāhulovāda Sutta, the Mahā-Rāhulovāda Sutta, the Dhammacakkappavattana Sutta, and the Dhātuvibhaṅga Sutta, and others of this kind."
Tesaṃ parajjhāsayo nikkhepo.,The classification of these is that they belong to the category of discourses spoken according to the inclination of others (parajjhāsaya-nikkhepa).
"Bhagavantaṃ pana upasaṅkamitvā catasso parisā cattāro vaṇṇā nāgā supaṇṇā gandhabbā asurā yakkhā mahārājāno tāvatiṃsādayo devā mahābrahmāti evamādayo ‘‘bojjhaṅgā bojjhaṅgā’’ti, bhante, vuccanti.","Furthermore, when approaching the Blessed One, the four assemblies, the four social classes, as well as nāgas, supaṇṇas, gandhabbas, asuras, yakkhas, the Great Kings, the deities of the Thirty-three and others, and even the Great Brahmā, and so forth, would say: ‘Venerable sir, the factors of awakening, the factors of awakening are being spoken of."
"‘‘Nīvaraṇā nīvaraṇā’’ti, bhante, vuccanti.","Venerable sir, the hindrances, the hindrances are being spoken of."
"Ime nu kho, bhante, pañcupādānakkhandhā.","Venerable sir, are these the five aggregates subject to clinging?"
‘‘Kiṃ sūdha vittaṃ purisassa seṭṭha’’ntiādinā (su. ni. 183) nayena pañhaṃ pucchanti.,"Or again, they pose a question in such a manner as, ‘What indeed is wealth supreme for a man?’ (Sutta Nipāta 183), and so forth."
Evaṃ puṭṭhena bhagavatā yāni kathitāni bojjhaṅgasaṃyuttādīni.,"Thus, in response to such questions, the discourses spoken by the Blessed One are, for example, those contained in the Bojjhaṅga-saṃyutta and others."
"Yāni vā panaññānipi devatāsaṃyutta-mārasaṃyutta-brahmasaṃyutta-sakkapañha-cūḷavedalla-mahāvedalla-sāmaññaphala- āḷavaka-sūciloma-kharalomasuttādīni, tesaṃ pucchāvasiko nikkhepo.","Or again, other discourses such as the Devatā-saṃyutta, the Māra-saṃyutta, the Brahma-saṃyutta, the Sakkapañha Sutta, the Cūḷavedalla Sutta, the Mahāvedalla Sutta, the Sāmaññaphala Sutta, the Āḷavaka Sutta, the Sūciloma Sutta, the Kharaloma Sutta, and others of this kind — these are classified as belonging to the category occasioned by a question (pucchāvasika-nikkhepa)."
Yāni panetāni uppannaṃ kāraṇaṃ paṭicca kathitāni.,"Those discourses, however, which were spoken on account of a particular circumstance that had arisen are so designated."
"Seyyathidaṃ, dhammadāyādaṃ cūḷasīhanādaṃ candūpamaṃ puttamaṃsūpamaṃ dārukkhandhūpamaṃ aggikkhandhūpamaṃ pheṇapiṇḍūpamaṃ pāricchattakūpamanti evamādīni.","Such are, for example, the Dhammadāyāda Sutta, the Cūḷasīhanāda Sutta, the Candūpama Sutta, the Puttamaṃsūpama Sutta, the Dārukkhandhūpama Sutta, the Aggikkhandhūpama Sutta, the Pheṇapiṇḍūpama Sutta, the Pāricchattakūpama Sutta, and others of this kind."
Tesaṃ aṭṭhuppattiko nikkhepo.,The classification of these is that they belong to the category of discourses delivered on account of a specific occasion (aṭṭhuppattika-nikkhepa).
Evamimesu catūsu nikkhepesu imassa suttassa aṭṭhuppattiko nikkhepo.,"Thus, among these four classifications, this discourse belongs to the category of discourses delivered on account of a specific occasion (aṭṭhuppattika-nikkhepa)."
Aṭṭhuppattiyañhi idaṃ bhagavatā nikkhittaṃ.,For this discourse was delivered by the Blessed One on the basis of a particular occasion.
Katarāya aṭṭhuppattiyā? Pariyattiṃ nissāya uppanne māne.,On account of which occasion? On account of the conceit that arose dependent on learning (pariyatti).
"Pañcasatā kira brāhmaṇā tiṇṇaṃ vedānaṃ pāragū aparabhāge bhagavato dhammadesanaṃ sutvā kāmesu ādīnavaṃ nekkhamme ca ānisaṃsaṃ sampassamānā bhagavato santike pabbajitvā nacirasseva sabbaṃ buddhavacanaṃ uggaṇhitvā pariyattiṃ nissāya mānaṃ uppādesuṃ ‘‘yaṃ yaṃ bhagavā katheti, taṃ taṃ mayaṃ khippameva jānāma, bhagavā hi tīṇi liṅgāni cattāri padāni satta vibhattiyo muñcitvā na kiñci katheti, evaṃ kathite ca amhākaṃ gaṇṭhipadaṃ nāma natthī’’ti.","It is said that five hundred brahmins, having mastered the three Vedas, later heard the Blessed One’s teaching of the Dhamma. Seeing the danger in sensual pleasures and the benefit in renunciation, they went forth under the Blessed One. Before long, having learned the entire corpus of the Buddha’s word, they, relying upon their learning (pariyatti), gave rise to conceit, thinking: ‘Whatever the Blessed One teaches, that we at once understand. For the Blessed One teaches after omitting the three genders, the four cases, and the seven declensions; and when taught thus, for us there is no such thing as difficulty of expression."
Te bhagavati agāravā hutvā tato paṭṭhāya bhagavato upaṭṭhānampi dhammassavanampi abhiṇhaṃ na gacchanti.,"Having thus become disrespectful toward the Blessed One, from that time on they no longer regularly attended upon the Blessed One nor frequently listened to the Dhamma."
Bhagavā tesaṃ taṃ cittacāraṃ ñatvā ‘‘abhabbā ime imaṃ mānakhilaṃ anupahacca maggaṃ vā phalaṃ vā sacchikātu’’nti tesaṃ sutapariyattiṃ nissāya uppannaṃ mānaṃ aṭṭhuppattiṃ katvā desanākusalo bhagavā mānabhañjanatthaṃ sabbadhammamūlapariyāyanti desanaṃ ārabhi.,"Here, the expression sabbadhammamūlapariyāya means the fundamental exposition (mūlapariyāya) of all phenomena (dhammas)."
Tattha sabbadhammamūlapariyāyanti sabbesaṃ dhammānaṃ mūlapariyāyaṃ.,"Here, sabbadhammamūlapariyāya means the root principle or fundamental exposition of all phenomena (dhammas)."
Sabbesanti anavasesānaṃ.,"Sabbesaṃ means ‘of all,’ in the sense of without exception."
Anavasesavācako hi ayaṃ sabba-saddo.,"For the word sabba (‘all’) is indeed an expression denoting totality, without remainder."
"So yena yena sambandhaṃ gacchati, tassa tassa anavasesataṃ dīpeti.","Wherever it is applied in connection, it indicates complete inclusiveness in that respect."
"Yathā, ‘‘sabbaṃ rūpaṃ aniccaṃ sabbā vedanā aniccā sabbasakkāyapariyāpannesu dhammesū’’ti.","For example: ‘All form is impermanent, all feeling is impermanent, and all phenomena included within the personality (sakkāya) are impermanent."
Dhamma-saddo panāyaṃ pariyatti-sacca-samādhi-paññā-pakati-sabhāvasuññatā-puññāpatti-ñeyyādīsu dissati.,"The term dhamma, however, is found with reference to various contexts such as the scriptures (pariyatti), truth (sacca), concentration (samādhi), wisdom (paññā), natural state (pakati), intrinsic nature (sabhāva), emptiness (suññatā), meritorious attainment (puññāpatti), objects of knowledge (ñeyya), and so forth."
‘‘Idha bhikkhu dhammaṃ pariyāpuṇāti suttaṃ geyya’’ntiādīsu (a. ni. 5.73) hi dhammasaddo pariyattiyaṃ vattati.,"For instance, in the passage, ‘Here, a bhikkhu masters the Dhamma: sutta, geyya, and so forth’ (Aṅguttara Nikāya 5.73), the term dhamma is used in the sense of the scriptures (pariyatti)."
‘‘Diṭṭhadhammo viditadhammo’’tiādīsu (dī. ni. 1.299) saccesu.,"In the passage, ‘One who has seen the Dhamma, one who has understood the Dhamma’ (Dīgha Nikāya 1.299), the term dhamma is used in the sense of truths (sacca)."
‘‘Evaṃ dhammā te bhagavanto’’tiādīsu samādhimhi.,"In the passage, ‘Thus steadfast in Dhamma are those Blessed Ones’ (cf. Dīgha Nikāya, etc.), the term dhamma is used in the sense of concentration (samādhi)."
"‘‘Yassete caturo dhammā, vānarinda yathā tava; Saccaṃ dhammo dhiti cāgo, diṭṭhaṃ so ativattatī’’ti.","In the passage, ‘For whom these four qualities exist, O lord of monkeys, as for you: truth (sacca), Dhamma, resolution (dhiti), and generosity (cāga) — such a one surpasses what is seen,’ the term dhamma is used in the sense of wisdom (paññā)."
– Ādīsu (jā. 1.1.57) paññāya.,"In such passages (Jātaka 1.1.57), the term dhamma is employed in the sense of wisdom (paññā)."
"‘‘Jātidhammā jarādhammā, atho maraṇadhammino’’tiādīsu pakatiyaṃ.","In the passage, ‘Subject to birth, subject to aging, and indeed subject to death’ (cf. Jātaka, etc.), the term dhamma is used in the sense of natural condition (pakati)."
‘‘Kusalā dhammā’’tiādīsu (dha. sa. 1.tikamātikā) sabhāve.,"In the passage, ‘Wholesome dhammas’ (Dhammasaṅgaṇī, Tikamātikā 1), the term dhamma is used in the sense of intrinsic nature (sabhāva)."
‘‘Tasmiṃ kho pana samaye dhammā hontī’’tiādīsu (dha. sa. 121) suññatāyaṃ.,"In the passage, ‘At that very time, dhammas exist’ (Dhammasaṅgaṇī 121), the term dhamma is used in the sense of emptiness (suññatā)."
‘‘Dhammo suciṇṇo sukhamāvahātī’’tiādīsu (jā. 1.10.102) puññe.,"In the passage, ‘Well-practiced dhamma brings happiness’ (Jātaka 1.10.102), the term dhamma is used in the sense of merit (puñña)."
‘‘Dve aniyatā dhammā’’tiādīsu (pārā. 443) āpattiyaṃ.,"In the passage, ‘There are two indefinite dhammas’ (Pārājika 443), the term dhamma is used in the sense of an offense (āpatti)."
‘‘Sabbe dhammā sabbākārena buddhassa bhagavato ñāṇamukhe āpāthaṃ āgacchantī’’tiādīsu ñeyye.,"In the passage, ‘All dhammas, in every respect, come into the scope of knowledge at the knowledge-faculty of the Blessed Buddha’ (cf. Aṅguttara Nikāya, etc.), the term dhamma is used in the sense of objects of knowledge (ñeyya)."
Idha panāyaṃ sabhāve vattati.,"Here, however, the term is used in the sense of intrinsic nature (sabhāva)."
Tatrāyaṃ vacanattho – attano lakkhaṇaṃ dhārentīti dhammā.,Here the meaning of the term is this: they are called dhammas because they bear their own characteristic marks.
Mūla-saddo vitthārito eva.,The term mūla (‘root’) has already been explained in detail.
Idha panāyaṃ asādhāraṇahetumhi daṭṭhabbo.,"Here, however, it should be understood in the sense of a unique or particular cause (asādhāraṇa-hetu)."
Pariyāyasaddo ‘‘madhupiṇḍikapariyāyoti naṃ dhārehī’’tiādīsu (ma. ni. 1.205) desanāyaṃ vattati.,"The term pariyāya, as in the passage ‘Bear in mind this as the Honey-ball Discourse (Madhupiṇḍika-pariyāya)’ (Majjhima Nikāya 1.205), is used in the sense of a teaching (desanā)."
"‘‘Atthi khvesa brāhmaṇa, pariyāyo, yena maṃ pariyāyena sammā vadamāno vadeyya akiriyavādo samaṇo gotamo’’tiādīsu (pārā. 3) kāraṇe.","In the passage, ‘There is, brahmin, a mode (pariyāya) by which, if one were to speak rightly, one could say: “The ascetic Gotama is a teacher of non-action”’ (Pārājika 3), the term pariyāya is used in the sense of cause or reason (kāraṇa)."
"‘‘Kassa nu kho, ānanda, ajja pariyāyo bhikkhuniyo ovaditu’’ntiādīsu (ma. ni. 3.398) vāre.","In the passage, ‘Ānanda, whose turn (pariyāya) is it today to instruct the bhikkhunīs?’ (Majjhima Nikāya 3.398), the term pariyāya is used in the sense of turn or occasion (vāra)."
Idha pana kāraṇepi desanāyampi vattati.,"Here, however, the term is used both in the sense of cause (kāraṇa) and in the sense of teaching (desanā)."
Tasmā ‘‘sabbadhammamūlapariyāya’’nti ettha sabbesaṃ dhammānaṃ asādhāraṇahetusaññitaṃ kāraṇanti vā sabbesaṃ dhammānaṃ kāraṇadesananti vā evaṃ attho daṭṭhabbo.,"Therefore, in the expression sabbadhammamūlapariyāya, the meaning should be understood either as ‘the cause designated as the unique root of all phenomena,’ or as ‘the teaching on the cause of all phenomena."
"Neyyatthattā cassa suttassa, na catubhūmakāpi sabhāvadhammā sabbadhammāti veditabbā.","And since this discourse is of indirect meaning (neyyattha), even the natural phenomena belonging to the four planes of existence are not to be understood here as ‘all phenomena."
"Sakkāyapariyāpannā pana tebhūmakā dhammāva anavasesato veditabbā, ayamettha adhippāyoti.","Rather, it should be understood that only the phenomena of the three planes of existence, included within the notion of personality (*sakkāya*), are intended here in their entirety; this is the meaning in this context."
Voti ayaṃ vo-saddo paccattaupayogakaraṇasampadānasāmivacanapadapūraṇesu dissati.,"The particle vo is found used in various senses: as indicating the second person plural (paccatta), as denoting object, instrument, and recipient, as well as in possessive expressions, and also as a filler for completing the sentence."
"‘‘Kacci pana vo, anuruddhā, samaggā sammodamānā’’tiādīsu (ma. ni. 1.326) hi paccatte dissati.","In the passage, ‘I trust, Anuruddhas, that you are living in concord, harmoniously’ (Majjhima Nikāya 1.326), the term vo is used in the sense of the second person plural (paccatta)."
"‘‘Gacchatha, bhikkhave, paṇāmemi vo’’tiādīsu (ma. ni. 2.157) upayoge.","In the passage, ‘Go forth, monks, I dismiss you (vo)’ (Majjhima Nikāya 2.157), the term vo is used in the sense of the object case (upayoga)."
‘‘Na vo mama santike vatthabba’’ntiādīsu (ma. ni. 2.157) karaṇe.,"In the passage, ‘You (vo) must not remain in my presence’ (Majjhima Nikāya 2.157), the term vo is used in the instrumental sense (karaṇa)."
"‘‘Vanapatthapariyāyaṃ vo, bhikkhave, desessāmī’’tiādīsu (ma. ni. 1.190) sampadāne.","In the passage, ‘Monks, I shall teach you (vo) the Discourse on the Forest’ (Majjhima Nikāya 1.190), the term vo is used in the sense of recipient (sampadāna)."
"‘‘Sabbesaṃ vo, sāriputta, subhāsita’’ntiādīsu (ma. ni. 1.345) sāmivacane.","In the passage, ‘All of your (vo) words, Sāriputta, are well spoken’ (Majjhima Nikāya 1.345), the term vo is used in the possessive sense (sāmivacana)."
‘‘Ye hi vo ariyā parisuddhakāyakammantā’’tiādīsu (ma. ni. 1.35) padapūraṇamatte.,"In the passage, ‘For those noble ones of you (vo), whose bodily conduct is purified’ (Majjhima Nikāya 1.35), the term vo is used merely as a filler for completing the expression (padapūraṇa)."
Idha panāyaṃ sampadāne daṭṭhabbo.,"Here, however, it should be understood in the sense of recipient (sampadāna)."
Bhikkhaveti patissavena abhimukhībhūtānaṃ punālapanaṃ.,"The address bhikkhave (‘monks’) is a repeated form of direct calling, intended for those who have turned their attention in acknowledgment."
