sentence_id,parent_chunk,token_start,token_end,sentence_text,en_text,heading_id,level,path,h1,h2,h3,h4,h5,h6
MAIN001-S261,MAIN001,2508,2518,Suttanikkhepavaṇṇanā Idāni ‘‘sabbadhammamūlapariyāyaṃ vo’’tiādinā nayena bhagavatā nikkhittassa suttassa vaṇṇanāya okāso anuppatto.,"Exposition of the Summary of the Sutta. Now, the occasion has arrived for the explanation of the discourse delivered by the Blessed One, beginning with the words, ‘I shall teach you the Root of All Phenomena (sabbadhammamūlapariyāya).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S262,MAIN001,2519,2531,"Sā panesā suttavaṇṇanā yasmā suttanikkhepaṃ vicāretvā vuccamānā pākaṭā hoti, tasmā suttanikkhepaṃ tāva vicārayissāma.","Now, since the explanation of this discourse becomes clear when examined in relation to the summary of the sutta, therefore we shall first examine that summary of the sutta.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S263,MAIN001,2532,2538,Cattāro hi suttanikkhepā attajjhāsayo parajjhāsayo pucchāvasiko aṭṭhuppattikoti.,"For there are four types of sutta-classifications (suttanikkhepa): those spoken from the Buddha’s own inclination (attajjhāsaya), those spoken according to the inclination of others (parajjhāsaya), those occasioned by a question (pucchāvasika), and those delivered on account of a specific circumstance (aṭṭhuppattika).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S264,MAIN001,2539,2548,Tattha yāni suttāni bhagavā parehi anajjhiṭṭho kevalaṃ attano ajjhāsayeneva kathesi.,"Herein, the discourses which the Blessed One, without being requested by others, taught solely out of his own inclination are so designated.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S265,MAIN001,2549,2557,"Seyyathidaṃ, ākaṅkheyyasuttaṃ, vatthasuttaṃ, mahāsatipaṭṭhānasuttaṃ, mahāsaḷāyatanavibhaṅgasuttaṃ, ariyavaṃsasuttaṃ, sammappadhānasuttantahārako, iddhipādaindriyabalabojjhaṅgamaggaṅgasuttantahārakoti evamādīni.","Such are, for example, the Ākaṅkheyya Sutta, the Vattha Sutta, the Mahāsatipaṭṭhāna Sutta, the Mahāsaḷāyatanavibhaṅga Sutta, the Ariyavaṃsa Sutta, the group of discourses on the Four Right Efforts (sammappadhāna), and the collections on the Bases of Spiritual Power (iddhipāda), the Faculties (indriya), the Powers (bala), the Factors of Awakening (bojjhaṅga), and the Path Factors (maggaṅga), and others of this kind.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S266,MAIN001,2558,2560,Tesaṃ attajjhāsayo nikkhepo.,The classification of these is that they belong to the category of discourses spoken from the Buddha’s own inclination (attajjhāsaya-nikkhepa).,H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S267,MAIN001,2561,2586,"Yāni pana ‘‘paripakkā kho rāhulassa vimuttiparipācanīyā dhammā, yaṃnūnāhaṃ rāhulaṃ uttari āsavānaṃ khaye vineyya’’nti (saṃ. ni. 4.121) evaṃ paresaṃ ajjhāsayaṃ khantiṃ manaṃ abhinīhāraṃ bujjhanabhāvañca avekkhitvā parajjhāsayavasena kathitāni.","Those discourses, however, which were spoken by considering the inclination, receptivity, disposition, and readiness for understanding of others—such as when the Blessed One reflected, ‘The spiritual qualities leading to liberation have ripened in Rāhula; let me now instruct him further for the destruction of the taints’ (Saṃyutta Nikāya IV 121)—these are designated as spoken according to the inclination of others (parajjhāsaya).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S268,MAIN001,2587,2592,"Seyyathidaṃ, cūḷarāhulovādasuttaṃ, mahārāhulovādasuttaṃ, dhammacakkappavattanaṃ, dhātuvibhaṅgasuttanti evamādīni.","Such are, for example, the Cūḷa-Rāhulovāda Sutta, the Mahā-Rāhulovāda Sutta, the Dhammacakkappavattana Sutta, and the Dhātuvibhaṅga Sutta, and others of this kind.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S269,MAIN001,2593,2595,Tesaṃ parajjhāsayo nikkhepo.,The classification of these is that they belong to the category of discourses spoken according to the inclination of others (parajjhāsaya-nikkhepa).,H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S270,MAIN001,2596,2616,"Bhagavantaṃ pana upasaṅkamitvā catasso parisā cattāro vaṇṇā nāgā supaṇṇā gandhabbā asurā yakkhā mahārājāno tāvatiṃsādayo devā mahābrahmāti evamādayo ‘‘bojjhaṅgā bojjhaṅgā’’ti, bhante, vuccanti.","Furthermore, when approaching the Blessed One, the four assemblies, the four social classes, as well as nāgas, supaṇṇas, gandhabbas, asuras, yakkhas, the Great Kings, the deities of the Thirty-three and others, and even the Great Brahmā, and so forth, would say: ‘Venerable sir, the factors of awakening, the factors of awakening are being spoken of.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
